Model,mae,rmse,mape,r2
Seasonally adjusted LSTM,13.741474151611328,18.699405723563775,3.001652710347638,0.9372983021884498
Seasonal naive (previous year),47.583333333333336,49.98666488841466,10.522728354862307,0.5519442918996866
Naive (previous month),44.208333333333336,51.781994940326506,9.729930052564972,0.5191814136976476
12-month moving average,55.388888888888886,74.30806200341726,11.345114265994068,0.009862381798567132
Linear trend,54.93759857937666,74.787758856445,11.21507247006756,-0.0029625785503968327
