threshold,precision,recall,f1
0.029342036694288254,0.7228915662650602,1.0,0.8391608391608392
0.029442086815834045,0.7361963190184049,1.0,0.8480565371024735
0.029542136937379837,0.7741935483870968,1.0,0.8727272727272727
0.02964218519628048,0.7843137254901961,1.0,0.8791208791208791
0.02974223531782627,0.8053691275167785,1.0,0.8921933085501859
0.029842285439372063,0.821917808219178,1.0,0.9022556390977443
0.029942333698272705,0.8333333333333334,1.0,0.9090909090909091
0.030042383819818497,0.8759124087591241,1.0,0.933852140077821
0.03014243394136429,0.9022556390977443,1.0,0.9486166007905138
0.03024248406291008,0.9090909090909091,1.0,0.9523809523809523
0.03034253418445587,0.9230769230769231,1.0,0.96
0.030442582443356514,0.9375,1.0,0.967741935483871
0.030542632564902306,0.9448818897637795,1.0,0.97165991902834
0.030642682686448097,0.9448818897637795,1.0,0.97165991902834
0.03074273094534874,0.9523809523809523,1.0,0.975609756097561
0.03084278106689453,0.967741935483871,1.0,0.9836065573770492
0.030942831188440323,0.967741935483871,1.0,0.9836065573770492
0.031042881309986115,0.967741935483871,1.0,0.9836065573770492
0.031142931431531906,0.967741935483871,1.0,0.9836065573770492
0.03124297969043255,0.975609756097561,1.0,0.9876543209876543
0.03134302794933319,0.975609756097561,1.0,0.9876543209876543
0.03144307807087898,0.975609756097561,1.0,0.9876543209876543
0.031543128192424774,0.975609756097561,1.0,0.9876543209876543
0.031643178313970566,0.9836065573770492,1.0,0.9917355371900827
0.03174322843551636,0.9917355371900827,1.0,0.995850622406639
