approach,threshold,accuracy,failure_precision,failure_recall,failure_f1,roc_auc,pr_auc
Statistical magnitude baseline,1.1745736598968506,0.7037037037037037,0.74,0.125,0.2138728323699422,0.6751596854088815,0.4982554260121872
PCA reconstruction baseline,0.23931846022605896,0.900871459694989,0.9904306220095693,0.6993243243243243,0.8198019801980198,0.9878552185626139,0.975268855277278
Isolation Forest,0.5386607329834633,0.7429193899782135,0.7727272727272727,0.28716216216216217,0.4187192118226601,0.8189688885026507,0.6929680180488367
LSTM Autoencoder,0.33097612857818604,0.7984749455337691,0.6397984886649875,0.8581081081081081,0.733044733044733,0.8867048318414877,0.7441801691899186
