,threshold,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,confusion_matrix
TF-IDF Logistic Regression,0.5100000000000002,0.6325254104769351,0.622644093115897,0.5801526717557252,0.5487364620938628,0.5640074211502782,0.6232199267913554,0.6719805801070584,0.6049434316307495,"[[505, 220], [250, 304]]"
Bidirectional LSTM,0.5200000000000002,0.6223612197028929,0.6111241130337359,0.5692007797270955,0.5270758122743683,0.5473289597000938,0.6116926488641314,0.652959043943732,0.5935322716467689,"[[504, 221], [262, 292]]"
